INDEX Plate,
3.433668613,17.15999985
3.433668613,26.32959938
3.433668613,31.02457619
3.433668613,34.09376144
3.433668613,34.09376144
3.433668613,36.69250488
3.433668613,36.69250488
3.433668613,36.69250488
3.382861614,36.69250488
3.484469652,36.69250488
3.484469652,36.82780457
3.58607173,38.22357178
4.043292999,38.12519836
4.55132103,38.12519836
4.856133461,38.12519836
5.364155769,38.12519836
6.939035416,38.12519836
9.072732925,38.12519836
11.66365719,38.12519836
13.49254799,38.12519836
15.77865505,38.12519836
19.94445419,38.12519836
25.83753395,38.12519836
29.39370346,38.12519836
33.40709686,38.12519836
40.0622139,38.12519836
45.3964653,38.12519836
51.79756927,38.12519836
61.14522171,35.43011093
65.97144318,33.04086304
68.71478271,30.82288361
71.81372833,30.82288361
74.91268158,26.94081497
77.80841827,26.94081497
81.00896454,23.44685555
81.97421265,21.93023872
82.68544769,19.76093292
83.75229645,18.10612297
85.07315826,17.61942863
85.32717133,16.02688026
85.83519745,15.57505322
85.88600159,15.76202965
85.42877197,15.76202965
85.1239624,15.76202965
84.41272736,15.76202965
82.63464355,15.76202965
81.97421265,15.76202965
80.75495148,15.76202965
78.01161957,15.76202965
76.33514404,15.76202965
74.70946503,18.06673622
72.27095032,18.06673622
69.83243561,20.67737198
66.22545624,22.139328
62.41527939,22.95802307
59.72275162,25.61649323
57.89385986,27.54523659
55.20133972,30.38533211
52.66121674,33.29578781
48.90183258,33.60564041
42.1451149,33.3391571
38.1317215,33.3391571
35.33758545,33.3391571
32.94987488,33.3391571
29.54611206,35.38992691
25.88833618,35.65835953
19.43643188,36.68868256
16.03266525,39.02566147
12.93371964,40.33436966
10.44440269,40.18724823
8.107489586,40.18724823
6.278604507,40.18724823
6.227797508,40.18724823
6.024587154,40.18724823
5.770576,40.18724823
5.414962769,40.18724823
5.414962769,40.18724823
5.465764046,40.18724823
5.414962769,40.18724823
5.414962769,40.18724823
5.7197752,40.18724823
6.532615662,40.18724823
8.158290863,40.18724823
11.35884476,40.18724823
15.32143402,40.18724823
21.92574692,40.18724823
26.39636421,40.18724823
29.74932098,40.18724823
33.30548859,40.18724823
39.04616165,40.18724823
43.26276779,40.18724823
52.76281738,37.46485901
57.23342896,35.06032181
61.70404434,35.06032181
64.65058136,31.95378113
66.58108521,29.77411652
70.44206238,29.77411652
75.01428223,27.23350525
77.96081543,23.61076355
81.26298523,22.02202797
83.19346619,19.37233543
84.86994934,17.00850868
85.93680573,15.68476486
86.95285034,14.50346851
87.91809845,14.28194237
88.47692108,13.71788788
88.57852936,12.96201706
88.73093414,12.53872967
88.73093414,12.30168819
88.73093414,12.60894585
88.57852936,12.60894585
87.96889496,12.60894585
87.00365448,12.60894585
85.68279266,12.60894585
84.92075348,12.60894585
82.48223877,12.60894585
81.5677948,12.60894585
78.46884918,12.60894585
75.36989594,12.60894585
73.59181976,12.60894585
71.20410156,14.98100948
68.10514832,17.18936539
63.83774948,19.74604416
60.68799591,22.05778503
54.13448715,22.05778503
49.86708069,24.67235947
46.41251373,27.45652199
43.26276779,29.89565277
39.75740051,32.14156723
36.5060463,34.2792778
31.83221817,35.47639465
29.95253181,36.14678192
27.05679512,37.84219742
24.61827469,39.23163223
22.02735519,39.12971497
17.45513725,39.12971497
13.6957531,39.12971497
12.37488937,39.12971497
11.56205559,39.12971497
11.1048336,39.12971497
10.8000164,39.12971497
10.8000164,39.12971497
10.8000164,39.12971497
10.85081673,39.51264191
10.90162373,41.48707962
11.00322628,40.83276367
11.35884476,40.83276367
12.12087822,40.83276367
13.39094067,40.83276367
15.72785378,40.83276367
20.30007172,40.83276367
23.60223007,40.83276367
27.31080627,40.83276367
31.88302612,40.83276367
34.62635422,40.83276367
39.55419159,38.26634598
43.16115952,38.26634598
48.19060135,38.26634598
51.49276352,35.50915527
54.38850021,35.50915527
60.12917328,32.64512634
66.02225494,30.60127068
68.86717987,29.01671219
71.40730286,26.8093586
73.8966217,24.25324059
76.69075775,23.26181412
80.55174255,22.26661682
82.7362442,19.94930458
85.37797546,18.21161079
87.05445862,16.79850197
87.81649017,15.56716156
88.83254242,14.87761021
89.2897644,14.49146175
89.74697876,13.39521885
89.89939117,12.78132248
89.84858704,12.87754059
89.89939117,12.87754059
89.89939117,12.87754059
89.69618225,12.87754059
89.54376984,12.87754059
89.13735199,12.87754059
87.51167297,12.87754059
86.9020462,12.87754059
84.41272736,12.87754059
81.97421265,12.87754059
80.65335083,12.87754059
78.41803741,12.87754059
78.11322784,15.131423
77.65600586,15.131423
76.03032684,15.131423
74.45545197,15.131423
72.52496338,15.131423
68.35916138,17.27359772
63.8885498,19.7932148
59.16392899,22.52420044
56.67460632,22.52420044
53.9312706,25.37355232
51.64516449,26.96918869
49.56226349,28.74274635
45.75208282,30.17593765
,
MIDDLE Plate,
6.587916374,22.44000053
6.727266312,35.44639969
6.402116776,40.96998215
6.495017052,46.26319122
6.541466713,48.78738785
6.68081665,48.78738785
6.587916374,48.78738785
6.634366512,48.78738785
6.634366512,48.78738785
6.68081665,48.78738785
6.866616249,48.78738785
7.191765308,48.78738785
7.424015045,48.78738785
7.656264305,48.78738785
8.027863503,48.78738785
9.049755096,48.78738785
9.932303429,48.78738785
12.30124855,48.78738785
14.25213814,48.78738785
15.92433453,48.78738785
17.87522507,48.78738785
22.00926018,49.76093674
27.3509922,49.8661232
30.69537926,49.48502731
35.01521301,49.48502731
41.37884521,49.48502731
46.20962906,49.48502731
50.48301315,49.48502731
57.58983994,49.48502731
63.07091522,45.75161362
65.25405884,41.90090179
68.55200195,41.90090179
72.45378113,37.9845047
75.84461975,34.47132111
78.91031647,31.62393951
80.25735474,29.58940697
80.86121368,28.45006752
81.46505737,27.81203842
83.36949921,26.57474136
83.92689514,25.00185585
84.39138794,24.12103844
84.39138794,23.62778091
83.88044739,22.91155815
83.27659607,22.51047325
82.20825195,23.60586548
80.53605652,23.60586548
79.37481689,23.60586548
78.3529129,23.60586548
75.28723145,23.60586548
73.52213287,26.85928535
71.75704193,28.24119949
69.29519653,29.89507103
67.20495605,31.26124001
63.58187103,32.46629333
59.8194313,34.02112579
56.61439133,37.09183121
55.17444611,40.13142395
52.75905609,40.95359802
49.64691544,42.29401398
46.48832703,43.48464966
40.0317955,45.03140259
35.75841141,46.33758545
33.11077499,47.06904602
30.92762756,46.59866714
27.49034119,46.59866714
23.77435493,46.59866714
17.59652519,46.59866714
14.80953693,48.97525406
12.06899834,50.3061409
9.467803955,51.93143845
6.262767315,51.96160507
6.076967716,51.53849792
6.169867516,51.53849792
6.076967716,51.53849792
6.076967716,51.53849792
6.030517578,51.53849792
5.891168118,50.86155701
6.076967716,50.92247009
6.123417854,50.92247009
6.030517578,48.31658173
6.123417854,48.31658173
6.495017052,48.31658173
7.656264305,48.31658173
11.04710102,48.31658173
14.76308727,48.31658173
20.94091797,48.31658173
24.74980354,48.31658173
28.00129128,50.377285
31.67082596,50.377285
36.45516205,50.377285
40.58919525,50.377285
49.08951569,48.01128006
53.87384796,45.80631638
58.70463943,43.25153732
61.21292877,40.50086212
63.72121429,38.08048248
67.57655334,38.08048248
72.03574371,34.52507019
74.86917877,34.52507019
78.63161469,31.21403885
80.76831055,28.47986221
82.30115509,26.50872231
83.60174561,24.9648838
84.7165451,23.66033554
85.87778473,22.92978859
86.24938965,20.76068115
86.43518829,19.54598236
86.57453918,19.74575043
86.57453918,19.74575043
86.5280838,19.74575043
86.38874054,19.74575043
85.78488922,19.74575043
85.0881424,19.74575043
84.53074646,19.74575043
83.78755188,19.74575043
82.06890106,19.74575043
80.86121368,19.74575043
77.93486786,19.74575043
74.2188797,19.74575043
71.75704193,19.74575043
68.83069611,22.49761963
65.90435791,25.35866737
62.93157196,27.84085464
59.30847931,30.55087852
53.03775787,30.55087852
48.02116776,34.26849365
43.19039154,38.11035538
37.94155884,42.46179962
31.6243763,45.33860779
28.27998924,46.94961929
23.96015549,48.29178619
21.63766098,49.04339981
19.31517029,49.9043045
17.17847633,49.50640869
14.76308727,51.9235878
